id;dossier_id;titre_dossier;type_dossier;type_service;emplacement_dossier_physique;qr_code_dossier
1;89113;Unbranded Dollar;Producteur;policy;local foreground c;Namibie ivory Car
2;23836;Account backing;encompassing Tools Cape;copy;transmitting mission-critical;scale Plastic transmit
3;99461;approach connecting;Peso;Cheese Unbranded;systems Fresh;focus Card
4;99698;invoice XML;system;deposit scale;impactful;paradigm
5;1787;executive Chicken Configurable;deposit;grey Lorraine c;b Soap SSL;Fantastic Mouse
6;73915;Singapour;transmit Card evolve;deposit;lime Richelieu;c Account
7;48471;Dollar input Distributed;Shoes productize Forint;matrix b solid;SMTP JBOD;payment lavender
8;4046;Integrated;primary;Franc SMS Solférino;wireless;Steel reboot
9;69049;Configurable Franc implementation;Credit intangible;invoice withdrawal;HDD;CSS SSL
10;33454;Limousin;grow SSL;withdrawal Public-key;primary;exploit
