id;nom_groupe_client_moral;lien_groupe_client_moral;nombre_client_moral
1;navigate embrace reinvent;Buckinghamshire Specialiste Stagiaire;18041
2;web-enabled;Macédoine Uruguay;42118
3;Buckinghamshire transmit Sports;Metal open-source;45428
4;regional Car Kiribati;Borders Automotive Manager;17672
5;Dollar Credit;networks;7647
6;Practical solution-oriented;Pound Rupiah Baby;51991
7;HTTP deposit;monitor;45564
8;Cotton extensible;Cambridgeshire;12008
9;Kirghizistan Account microchip;Cambridgeshire;187
10;systemic Nord-Pas-de-Calais;Loan bleeding-edge a;71323
