id;nom_groupe_physique;lien_groupe_physique;nombre_personne_physique
1;Intelligent bandwidth-monitored Birmanie;tan plum;87447
2;a reinvent;Corse hard;42837
3;scale Networked;online Baby;52662
4;modular;program;66792
5;c expedite Grocery;disintermediate Granite group;68225
6;flexibility;Cambridgeshire;24746
7;well-modulated Wooden;Centralized Account;12512
8;User-centric;Languedoc-Roussillon;12566
9;Specialiste;innovate real-time SMTP;2013
10;Nord-Pas-de-Calais seize Venezuela;Granite b back;44776
